2015,01,10,14,15,10,0707,PROCESS_MODLOAD,1064,,\SystemRoot\System32\ntdll.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,1064,,\SystemRoot\SysWOW64\ntdll.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\rpcrt4.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\oleaut32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,1064,,\Windows\System32\wow64.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4564,,\Windows\System32\clbcatq.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,1064,,\Windows\System32\wow64win.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_LAUNCH,1724,628,\??\C:\Windows\SysWOW64\net.exe,net stop McShield,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,628,,\Windows\SysWOW64\net.exe,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,1064,,\Windows\System32\wow64cpu.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,1064,,\Windows\System32\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,1064,,\Windows\SysWOW64\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,1064,,\Windows\System32\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,1064,,\Windows\System32\user32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,1064,,\Windows\SysWOW64\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,1064,,\Windows\SysWOW64\KernelBase.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\uxtheme.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_LAUNCH,2504,2620,\??\C:\Windows\system32\SearchFilterHost.exe,"C:\Windows\system32\SearchFilterHost.exe" 0 548 552 560 65536 556 ,,,,,
2015,01,10,14,15,10,0707,PROCESS_LAUNCH,2548,428,\??\C:\Windows\system32\conhost.exe,\??\C:\Windows\system32\conhost.exe "1096676346-8611377261025119229-403098959-758540641106706975278427058-1406366368",,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2548,,\Device\HarddiskVolume2\Windows\System32\conhost.exe,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2548,,\SystemRoot\System32\ntdll.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2504,,\Device\HarddiskVolume2\Windows\System32\SearchFilterHost.exe,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2504,,\SystemRoot\System32\ntdll.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2548,,\Windows\System32\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2504,,\Windows\System32\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2504,,\Windows\System32\KernelBase.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2548,,\Windows\System32\KernelBase.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\netsh.exe,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2548,,\Windows\System32\gdi32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2504,,\Windows\System32\advapi32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2504,,\Windows\System32\msvcrt.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2548,,\Windows\System32\user32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2548,,\Windows\System32\lpk.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2548,,\Windows\System32\usp10.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2548,,\Windows\System32\msvcrt.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2504,,\Windows\System32\sechost.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2504,,\Windows\System32\rpcrt4.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,2548,,\Windows\System32\imm32.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2548,,\Windows\System32\msctf.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2548,,\Windows\System32\ole32.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2504,,\Windows\System32\user32.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2548,,\Windows\System32\rpcrt4.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2504,,\Windows\System32\gdi32.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,4888,,\Windows\System32\conhost.exe,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2504,,\Windows\System32\lpk.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2548,,\Windows\System32\oleaut32.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2504,,\Windows\System32\usp10.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2504,,\Windows\System32\ole32.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2504,,\Windows\System32\oleaut32.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,4888,,\Windows\System32\apphelp.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2504,,\Windows\System32\tquery.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,4888,,\Windows\System32\IMJP14.IME,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2504,,\Windows\System32\shlwapi.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2504,,\Windows\System32\imm32.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,4888,,\Windows\System32\advapi32.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2504,,\Windows\System32\msctf.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,4888,,\Windows\System32\sechost.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2504,,\Windows\System32\msshooks.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,4888,,\Windows\System32\shell32.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,1724,,\Device\HarddiskVolume2\Windows\SysWOW64\net.exe,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,4888,,\Windows\System32\shlwapi.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,1724,,\SystemRoot\System32\ntdll.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,1724,,\SystemRoot\SysWOW64\ntdll.dll,,,,,,,
2015,01,10,14,15,10,0722,PROCESS_MODLOAD,2504,,\Windows\System32\mscoree.dll,,,,,,,
